code,loc,dem,slope,aspect,twi,aspectF
CANAR_LOW,CAN,1716,11.2,193,6.434494495391846,S
CANAR_HIGH,CAN,1869,12.5,152,8.54350471496582,SE
B01,CAN,1700,15.7,153,5.451841831207275,SE
B02,CAN,1709,15.9,138,5.600966930389404,SE
B03,CAN,1715,18,124,5.902772426605225,SE
B04,CAN,1726,10.4,114,6.246842384338379,SE
B05,CAN,1728,8.7,121,6.017365455627441,SE
B06,CAN,1729,9.7,130,7.9346513748168945,SE
B07,CAN,1747,9,134,7.291686534881592,SE
B08,CAN,1742,11.3,108,8.108799934387207,E
B09,CAN,1751,10.9,149,7.468591213226318,SE
B10,CAN,1750,10.4,147,7.582409858703613,SE
B11,CAN,1884,15.4,126,8.32168197631836,SE
B12,CAN,1878,14.1,164,9.877474784851074,S
B13,CAN,1873,10.3,162,9.779295921325684,S
B14,CAN,1874,11.7,165,9.409358978271484,S
B15,CAN,1878,10.8,166,9.419828414916992,S
B16,CAN,1873,10.7,140,9.20673942565918,SE
B17,CAN,1870,10.6,153,9.80286979675293,SE
B18,CAN,1864,11.6,137,9.629819869995117,SE
B19,CAN,1861,8.6,149,10.973052024841309,SE
B20,CAN,1859,7.9,135,8.166141510009766,SE
B21,CAN,1859,6.9,159,8.642098426818848,S
B22,CAN,1854,13,191,7.64827823638916,S
B23,CAN,1846,18.2,179,7.813230037689209,S
B24,CAN,1846,16.4,136,8.362080574035645,SE
B25,CAN,1851,15.4,115,7.936095237731934,SE
B26,CAN,1691,14.5,160,9.619016647338867,S
B27,CAN,1694,15.7,159,9.73123550415039,S
B28,CAN,1694,15.7,159,9.73123550415039,S
B29,CAN,1700,13.7,162,7.601014137268066,S
B30,CAN,1702,13.5,160,7.767160415649414,S
A01,GEN,1352,24.3,334,7.3049635887146,NW
A02,GEN,1355,21.2,322,9.122620582580566,NW
A03,GEN,1353,24.9,308,6.550464630126953,NW
A04,GEN,1338,22.3,309,6.691922187805176,NW
A05,GEN,1331,19.5,308,7.427267074584961,NW
A06,GEN,1322,16.9,322,8.365853309631348,NW
A07,GEN,1334,19.8,318,7.9839630126953125,NW
A08,GEN,1332,23.1,342,6.420901298522949,N
A09,GEN,1345,26.4,336,6.594338417053223,NW
A10,GEN,1333,25.5,346,6.670546054840088,N
A11,GEN,1418,31.3,4,5.499708652496338,N
A12,GEN,1418,29.3,0,5.792372703552246,N
A13,GEN,1429,31,5,5.6616034507751465,N
A14,GEN,1443,32.5,2,4.633878231048584,N
A15,GEN,1452,31.5,331,4.435368537902832,NW
A16,GEN,1468,32,351,4.243717670440674,N
A17,GEN,1468,33.9,324,4.230958461761475,NW
A18,GEN,1468,33.9,324,4.230958461761475,NW
A19,GEN,1472,33.1,334,4.08743953704834,NW
A20,GEN,1474,34.3,321,4.294703006744385,NW
P028,CAN,1803,7.4,168,10.314776420593262,S
P031,CAN,1784,9,165,7.088720321655273,S
A029,GEN,1606,27.3,45,5.648281574249268,NE
