variables,total,totalTg,N_t,NW_t,S_t,N_tTg,NW_tTg,S_tTg
ws,5621117.95,5.62111795,1025265.85,1975759.81,2620092.29,1.02526585,1.97575981,2.62009229
w27,517505.29,0.51750529,99855.85,177119.74,240529.7,0.09985585000000001,0.17711974,0.2405297
w2,886193.56,0.88619356,159782.1,309880.06,416531.39,0.1597821,0.30988006,0.41653139
wr,3072996.07,3.07299607,590559.8,1084702.83,1397733.44,0.5905598000000001,1.0847028300000001,1.3977334399999999
wt,9943036.53,9.943036529999999,1847328.64,3481345.44,4614362.45,1.84732864,3.48134544,4.61436245
cr,5357000.41,5.35700041,1029493.37,1890908.21,2436598.82,1.02949337,1.8909082099999999,2.43659882
cs,9799013.87,9.79901387,1787294.7,3444243.28,4567475.88,1.7872947,3.44424328,4.56747588
c2,1544856.92,1.54485692,278540.15,540198.41,726118.35,0.27854015000000004,0.54019841,0.72611835
c27,902141.1,0.9021411,174073.71,308763.99,419303.4,0.17407371,0.30876399,0.41930340000000005
ct,17333198.43,17.33319843,3220355.65,6068855.43,8043987.35,3.22035565,6.068855429999999,8.04398735
