id_plot,project,original_code,loc,type,size_m,size,gps,precision GPS,selected,cause
1,migrame,P028,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
2,migrame,P031,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
3,migrame,A029,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
4,migrame,A026,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
5,migrame,P037,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
6,migrame,P007,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
7,migrame,P027,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
8,migrame,P024,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
9,migrame,P034,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
10,migrame,P038,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
11,migrame,P033,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
12,migrame,P030,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
13,migrame,P035,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
14,migrame,P023,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
15,migrame,P026,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
16,migrame,P021,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,FALSE,overlap
17,migrame,P022,CA,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
18,migrame,A024,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
19,migrame,A028,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
20,migrame,A027,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
21,migrame,A040,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
22,migrame,A041,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
23,migrame,A036,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
24,migrame,A037,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
25,migrame,A038,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
26,migrame,A039,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
27,migrame,A035,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
28,migrame,A034,SJ,rectangular,30x10,300,Garmin eTreX Vista HCX,5,TRUE,
