"","PROVINCIA","ESTADILLO","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2"
"1",18,2,NA,951221,0,2,2,1,4,"S",951229,0,"0908","1","0908L12","539","4215","95","098","6","6","0","0","12","12","5","5","9","1","90","40","25","45","0","0","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45","3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45",NA,NA,NA,NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","1","1",NA,"0",NA,"0","0",NA,NA,"01","028",NA,"12.00",NA
"2",18,3,NA,951221,0,4,4,2,4,"S",951229,0,"0908","1","0908L11","537","4214","95","098","6","6","0","0","14","14","5","5","9","1","90","60","25","45","0","7","4","4",NA,"25",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"45","3","6",NA,"25","3","1",NA,NA,NA,NA,NA,"45","25","37","15",NA,NA,NA,"2","02","W","14",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","236","058","8.00","5.50"
"3",18,4,NA,951221,0,4,4,1,2,"S",951229,0,"0908","1","0908L12","538","4214","95","098","6","6","0","0","14","14","2","4","9","1","90","60","25","25","0","5","4","4",NA,"45",NA,"5",NA,"4",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"45","3","6",NA,NA,NA,NA,NA,"25","45","37","15","44",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"3","4",NA,NA,"01","096",NA,"5.25",NA
"4",18,5,NA,951221,0,4,4,3,4,"S",951229,0,"0908","1","0908L12","539","4214","95","098","6","6","0","0","13","13","4","4","9","1","90","60","25","25","0","6","4","4",NA,"45",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"45","3","6",NA,NA,NA,NA,NA,"25","45","37","15",NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"3","4",NA,NA,"01","358",NA,"5.00",NA
"5",18,7,NA,951221,0,8,4,2,4,"S",951229,0,"0908","1","0908L11","536","4213","95","098","6","6","0","0","15","15","5","3","9","1","90","60","25","45","0","7","4","4",NA,"25",NA,"2",NA,"4",NA,NA,NA,NA,NA,NA,"45","3","6",NA,"25","3","1",NA,NA,NA,NA,NA,"45","25","76","15",NA,NA,NA,"2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"3","4",NA,NA,"01","113",NA,"3.25",NA
"6",18,8,NA,951221,0,5,4,4,3,"S",951229,0,"0908","1","0908L13","540","4213","95","098","6","6","0","0","15","15","2","2","9","1","90","60","25","25","0","5","4","4",NA,"45",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"45","3","6",NA,NA,NA,NA,NA,"25","45","15","37",NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","021",NA,"1.75",NA
"7",18,9,NA,951221,0,6,4,2,3,"S",951229,0,"0908","1","0908L13","541","4213","95","098","6","6","0","0","15","15","5","3","9","1","90","80","25","25","0","7","4","4",NA,"45",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"45","3","6",NA,NA,NA,NA,NA,"25","45","15","37",NA,NA,NA,"2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"3","4",NA,NA,"01","068",NA,"3.75",NA
"8",18,16,NA,951221,0,6,4,3,5,"S",951229,0,"0908","1","0908L14","542","4212","95","098","6","6","0","0","17","17","3","4","9","1","90","60","25","25","0","0","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","37","45","15","78",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","394",NA,"4.25",NA
"9",18,18,NA,951221,0,1,1,2,4,"S",951229,0,"0908","1","0908L12","538","4211","95","098","6","6","0","0","16","16","2","2","9","1","90","50","25","45","0","6","4","4",NA,"25",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"45","3","6",NA,"25","3","1",NA,NA,NA,NA,NA,"45","25","15","37",NA,NA,NA,"2","02","W","19",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","310",NA,"1.50",NA
"10",18,19,NA,951221,0,7,4,4,3,"S",951229,0,"0908","1","0908L12","539","4211","95","098","6","6","0","0","15","15","5","5","9","1","90","80","25","45","0","5","4","4",NA,"25",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"45","3","6",NA,"25","3","1",NA,NA,NA,NA,NA,"45","25","15","37","76",NA,NA,"2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","237",NA,"12.50",NA
"11",18,20,NA,951221,0,2,2,3,5,"S",951229,0,"0908","1","0908L13","540","4211","95","098","6","6","0","0","16","16","3","3","9","1","90","60","25","25","0","5","4","4",NA,"45",NA,"5",NA,"4",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"45","3","6",NA,NA,NA,NA,NA,"25","45","37",NA,NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"3","4",NA,NA,"01","211",NA,"2.75",NA
"12",18,22,NA,951221,0,0,0,0,0,"S",951229,0,"0908","1","0908M14","538","4210","95","098","6",NA,"0",NA,"16","16","1",NA,"9","3","90",NA,"25",NA,"0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",18,23,NA,951221,0,0,0,0,0,"S",951229,0,"0908","1","0908M15","540","4210","95","098","6",NA,"0",NA,"17","17","4",NA,"9","3","90",NA,"25",NA,"0",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",18,28,NA,951221,0,8,4,1,5,"S",951229,0,"0909","3","0909391","546","4212","95","164","6","6","0","0","18","18","2","4","9","1","60","40","25","25","0","0","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","37",NA,NA,NA,NA,NA,"2","02","W","19",NA,NA,NA,"1","1","1",NA,"0",NA,"0","0",NA,NA,"01","132",NA,"4.50",NA
"15",18,29,NA,951221,0,7,4,2,3,"S",951229,0,"0909","3","0909391","544","4211","95","098","6","6","0","0","17","17","2","5","9","1","60","70","25","25","0","0","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","37",NA,NA,NA,NA,NA,"2","03","W","18",NA,NA,NA,"1","1","1",NA,"0",NA,"0","0",NA,NA,"01","397",NA,"8.50",NA
