"","PROVINCIA","ESTADILLO","TIPO","ST","ESPECIE","PAE","FORMA","DN","DS","CRE","HT","VCC","VSC","IAVC","VLE"
"1",18,2,1,11,45,0,3,76,68,0,4.5,7.995583,6.400896,0,0
"2",18,2,2,11,45,0,5,153,135,0,4,34.171142,26.60383,0,0
"3",18,3,1,12,45,0,4,195,169,0,4,44.231198,33.222544,0,0
"4",18,3,2,12,45,0,4,243,223,0,6,112.694033,94.906968,0,0
"5",18,3,3,12,45,0,4,297,278,0,6,192.035508,168.251224,0,0
"6",18,3,4,11,45,0,3,132.5,116.5,0,5,25.979805,20.084267,0,0
"7",18,4,1,7,25,0,3,136.5,103.5,34,5,37.256873,23.813989,4.258103,0
"8",18,4,2,12,45,0,4,304.5,278.5,0,9,201.570096,168.617213,0,0
"9",18,4,3,6,25,0,2,372.5,296.5,24,11,596.105204,416.964795,20.990676,0
"10",18,4,4,6,25,0,2,247.5,214.5,22,10,249.155239,189.638512,11.837228,0
"11",18,5,1,6,25,0,2,363.5,285.5,12,14,679.264771,467.039824,12.607147,0
"12",18,5,2,6,25,0,2,398.5,321.5,21,14,860.204447,617.690498,25.03914,0
"13",18,5,3,6,25,0,2,214.5,177.5,30,7,125.758522,89.774539,8.966368,0
"14",18,5,4,6,25,0,2,289,247,19,9,313.735746,239.560443,11.259563,0
"15",18,8,1,6,25,0,2,313.5,259.5,22,11,425.763491,312.797752,16.244539,0
"16",18,8,3,11,45,0,3,80,72,0,4,8.824636,7.147955,0,0
"17",18,8,4,11,45,0,3,116,99,0,4,18.458113,13.444409,0,0
"18",18,8,2,11,45,0,3,136.5,118.5,0,5,25.87164,19.498238,0,0
"19",18,9,1,6,25,0,2,354,310,24,12,584.178318,458.86701,21.57973,0
"20",18,9,2,11,45,0,2,456.5,434.5,0,12,597.706477,541.484413,0,0
"21",18,9,3,6,25,0,2,250,198,32,9,209.421772,142.922659,13.817897,0
"22",18,9,4,6,25,0,2,316.5,264.5,22,13.5,523.039344,388.777497,19.778792,0
"23",18,16,1,6,25,0,2,394,315,18,12,740.193851,525.406786,18.797076,0
"24",18,16,2,6,25,0,2,236,182,28,8,180.390971,118.957573,11.129055,0
"25",18,16,3,6,25,0,2,314,252,15,9,338.456154,239.237814,8.97053,0
"26",18,16,4,6,25,0,2,278.5,204.5,13,9,295.712138,185.864131,7.665986,0
"27",18,18,1,12,45,0,4,302.5,279.5,0,9,136.610827,116.6267,0,0
"28",18,19,1,12,45,0,4,306,265,0,9.5,104.591153,78.441131,0,0
"29",18,19,2,11,45,0,2,591.5,542.5,0,10.5,836.08844,703.302572,0,0
"30",18,19,3,6,25,0,2,227.5,189.5,15,13.5,263.430432,191.373556,9.479876,0
"31",18,19,4,6,25,0,2,250.5,189.5,26,12,282.838789,181.852815,15.476758,0
"32",18,20,1,11,45,0,3,91,82,0,3,11.712024,9.50992,0,0
"33",18,20,2,6,25,0,2,284,243,12,8,275.79871,210.872965,6.497738,0
"34",18,28,1,6,25,0,5,334,265,12,6,220.845774,153.841464,4.449309,0
"35",18,28,4,6,25,0,2,239.5,193.5,18,5,101.235665,70.844525,4.11799,0
"36",18,28,2,6,25,0,5,236,191,13,5,105.353941,73.884337,3.1987,0
"37",18,28,3,6,25,0,5,290.5,225.5,17,5,156.713446,106.115205,5.039095,0
