"","PROVINCIA","ESTADILLO","NUMORDEN","TIPO","DIAMCOPA1","DIAMCOPA2","CORTEZA1","CORTEZA2","CRECIMI1","CRECIMI2","DIAMETR4","DIAMFF","ALTURFF","ALTUPV"
"1",18,2,1,"1","1.9","2.4","5","3",NA,NA,NA,"8","1.4","0.8"
"2",18,2,2,"2","4.8","3.3","10","8",NA,NA,NA,NA,NA,NA
"3",18,3,1,"1","4.1","3.9","12","14",NA,NA,NA,"19","1.5",NA
"4",18,3,2,"2","5.3","5.1","10","10",NA,NA,NA,"24","2.5",NA
"5",18,3,3,"3","3.5","4.4","9","10",NA,NA,NA,"29","2.9",NA
"6",18,3,4,"4","2.7","1.9","10","6",NA,NA,NA,"8","1.8","0.6"
"7",18,4,1,"1","2.1","2.1","15","18","17","17",NA,"8","3.1","1.6"
"8",18,4,2,"2","6.2","6.1","12","14",NA,NA,NA,"30","2.9",NA
"9",18,4,3,"3","5.4","6.5","34","42","13","11","30",NA,NA,NA
"10",18,4,4,"4","4.4","3.5","16","17","10","12","21",NA,NA,NA
"11",18,5,1,"1","5.6","5.1","35","43","4","8","30",NA,NA,NA
"12",18,5,2,"2","5.7","6.4","38","39","10","11","37",NA,NA,NA
"13",18,5,3,"3","4.9","4.1","15","22","14","16","13",NA,NA,NA
"14",18,5,4,"4","6.2","5.4","20","22","7","12","24",NA,NA,NA
"15",18,8,1,"1","5.3","4.7","27","27","12","10","26",NA,NA,NA
"16",18,8,2,"2","3.8","3.2","9","9",NA,NA,NA,"8","1.6","1.5"
"17",18,8,3,"3","2.8","2.0","4","4",NA,NA,NA,"8","1.4","0.5"
"18",18,8,4,"4","2.1","2.6","7","10",NA,NA,NA,"8","1.5","1.1"
"19",18,9,1,"1","6.4","7.8","25","19","12","12","30",NA,NA,NA
"20",18,9,2,"2","5.7","5.0","10","12",NA,NA,"25",NA,NA,NA
"21",18,9,3,"3","4.2","4.3","25","27","12","20","16",NA,NA,NA
"22",18,9,4,"4","5.4","6.0","28","24","10","12","29",NA,NA,NA
"23",18,16,1,"1","6.4","7.9","36","43","9","9","35",NA,NA,NA
"24",18,16,2,"2","4.8","5.1","26","28","14","14","17",NA,NA,NA
"25",18,16,3,"3","5.0","5.3","34","28","7","8","21",NA,NA,NA
"26",18,16,4,"4","4.9","5.4","35","39","6","7","24",NA,NA,NA
"27",18,18,1,"1","5.4","5.3","14","9",NA,NA,NA,"29","2.0",NA
"28",18,19,1,"1","6.8","4.8","21","20",NA,NA,NA,"29","1.5",NA
"29",18,19,2,"2","7.9","6.5","23","26",NA,NA,"22",NA,NA,NA
"30",18,19,3,"3","4.8","3.8","24","14","8","7","20",NA,NA,NA
"31",18,19,4,"4","4.4","6.0","31","30","11","15","20",NA,NA,NA
"32",18,20,1,"1","2.7","2.0","4","5",NA,NA,NA,"8","1.5","0.4"
"33",18,20,2,"2","4.4","4.2","23","18","5","7","23",NA,NA,NA
"34",18,28,1,"1","7.5","7.8","33","36","5","7",NA,NA,NA,NA
"35",18,28,2,"2","6.1","5.8","23","22","6","7",NA,NA,NA,NA
"36",18,28,3,"3","5.6","5.1","36","29","7","10",NA,NA,NA,NA
"37",18,28,4,"4","3.6","4.3","21","25","11","7","9",NA,NA,NA
"38",18,29,1,"1","12.5","13.6","29","39","15","14","45",NA,NA,NA
"39",18,29,2,"2","4.1","4.2","22","19","19","16","13",NA,NA,NA
"40",18,29,3,"3","8.2","8.0","37","34","8","6","32",NA,NA,NA
"41",18,29,4,"4","4.6","5.9","29","28","10","13","28",NA,NA,NA
"42",18,30,1,"1","2.5","1.7","11","12",NA,NA,NA,"8","2.3","1.8"
"43",18,30,2,"2","3.0","2.3","9","8",NA,NA,NA,"16","1.7",NA
"44",18,31,1,"1","5.0","3.9","5","7",NA,NA,NA,"8","3.8","2.0"
"45",18,31,2,"2","3.8","2.9","9","10",NA,NA,"8",NA,NA,NA
"46",18,31,3,"3","4.7","3.3","8","16",NA,NA,NA,"8","1.8","1.0"
"47",18,34,1,"1","6.8","6.0","17","19","14","15","25",NA,NA,NA
