"name" "longitude" "latitude" "elevation" "type" "subtype" "locality" "county" "province" "country"
"1" "G032b" -3.35255173906874 37.1150872703409 1848 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"2" "A009" -3.3559200175209 37.1218890807308 1718 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"3" "G038a" -3.35489217341166 37.1123318774006 2001 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"4" "G036a" -3.35394317975313 37.1134255527254 1947 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"5" "G035a" -3.35352496779312 37.1136954839822 1924 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"6" "G013b" -3.36057698461093 37.1168794186539 1970 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"7" "G006a" -3.35952030988609 37.1196249217963 1804 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"8" "G024a" -3.3548726908043 37.1174575452311 1915 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"9" "G007a" -3.35956337262292 37.1192101489718 1828 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"10" "G012b" -3.36047288465081 37.1171526438142 1943 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"11" "G008a" -3.35962369356492 37.118838191456 1850 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"12" "G023a" -3.35456028719548 37.1180488946458 1897 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"13" "G009a" -3.35963201576012 37.1183986841501 1876 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"14" "G037a" -3.35429466289222 37.1129603243686 1973 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"15" "G010a" -3.35983888179739 37.1179653862242 1901 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"38" "G009b" -3.3600981705947 37.118367414056 1876 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"39" "B006" -3.43457275782089 36.9580717213798 1835 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"40" "T050" -3.4239113127986 36.9721334493874 2101 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"41" "T053" -3.42767686268071 36.9695142613444 2108 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"42" "T054" -3.42546486022211 36.9730360153984 2144 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"43" "T057" -3.42930471047032 36.9706819020838 2141 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"44" "T018b" -3.42803023843247 36.9643780900456 1921 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"45" "T022b" -3.43085947725226 36.9660323829601 2021 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"46" "T017a" -3.42592912134222 36.9632769017388 1899 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"47" "T014a" -3.42231835706579 36.9704486667054 2033 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"48" "T021b" -3.43045831711682 36.9656808748189 1998 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"49" "T019b" -3.42924344678249 36.9650029278391 1947 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"52" "T020b" -3.42997931296443 36.9653986639161 1972 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"56" "G011a" -3.35990922575631 37.1175679394789 1920 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"57" "B001" -3.41822976529376 36.9679327679995 1889 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"58" "G037b" -3.35455639428573 37.113172261356 1978 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"59" "B003" -3.41852807985645 36.966666521388 1874 "MH" "AC-e" "CA" "Cáñar" "Granada" "Spain"
"60" "G036b" -3.35422132513843 37.1137019868789 1944 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"61" "G038b" -3.35506492425518 37.1126411965932 2003 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"62" "T013b" -3.42140545943114 36.9702428029478 2009 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"63" "T013a" -3.42174089987704 36.9700462650842 2007 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"65" "T011a" -3.42079387093047 36.9690778057875 1955 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"66" "T011b" -3.42051991148568 36.9693086377956 1956 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"67" "T012b" -3.42099418242437 36.9697531585706 1981 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"71" "T010b" -3.41976897846909 36.968885163592 1935 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"72" "T007b" -3.42567896454986 36.9688808756493 2054 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"73" "T007a" -3.42614754042255 36.9687291900379 2054 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"74" "T021a" -3.43072687080128 36.9654951103385 1996 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"75" "T006a" -3.42528141098796 36.9683192705511 2030 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"76" "P004" -3.42071483275355 36.9642449410102 1838 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"77" "T010a" -3.42000007204855 36.9686848230451 1934 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"78" "T008b" -3.42627179278725 36.9694650997843 2080 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"79" "C002" -3.36512223929977 37.1244523207405 1673 "MH" "AC-e" "SJ" "Güejar-Sierra" "Granada" "Spain"
"80" "C006" -3.35558997655039 37.1252150958904 1641 "MH" "AC-e" "SJ" "Güejar-Sierra" "Granada" "Spain"
"84" "A018" -3.35491403027501 37.1223606302029 1720 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"85" "P012" -3.42260832742187 36.9635317530086 1853 "MH" "AC-i" "CA" "Cáñar" "Granada" "Spain"
"86" "A015" -3.35427649454284 37.1235651285216 1689 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
